Posting ID	Sponsor	Study Title	Medicine or Vaccine (generic name)	Sponsor Identification Number	Medical Condition	Phase	Link to Sponsor Study Registry	Link to study details on ClinicalTrials.gov (if available)	Link to study details on EudraCT (if available)	Analysis-ready dataset	Annotated case report form	Clinical study report	Dataset specifications	Protocol with any amendments	Raw dataset	Reporting and analysis plan	Additional Information about the data and documents available for this study	Date Added to this Site	CUI_umls	preferred_umls_name	semantic_type	high_confidence
2183	GSK	A double blind randomised, comparative study of the immunogenicity and reactogenicity of three different lots of GlaxoSmithKline Biologicals’ combined hepatitis A - hepatitis B vaccine when administered in healthy adults	twinrix	100553	Hepatitis A; Hepatitis B	Phase 3	https://www.gsk-studyregister.com/en/trial-details/?id=100551 (EXT Y11)	http://clinicaltrials.gov/show/NCT00289770		Y	N	Y	Y	Y	Y	N	This is a follow-up study to 208127/021 and 208127/115 and 208127/119, a follow-on study 112267 was conducted. The results of this study 100553 are summarised with studies 100551, 100552, 100554, and 100555 on the GSK Study Register. An annotated case report form is not available for this study. A blank case report form will be provided. A reporting and analysis plan is not available for this study.	1-Oct-2014	C0593953	Twinrix	Pharmacologic Substance|Immunologic Factor	True
2184	GSK	A double blind randomised, comparative study of the immunogenicity and reactogenicity of three different lots of GlaxoSmithKline Biologicals’ combined hepatitis A - hepatitis B vaccine when administered in healthy adults	twinrix	100554	Hepatitis A; Hepatitis B	Phase 3	https://www.gsk-studyregister.com/en/trial-details/?id=100551 (EXT Y11)	http://clinicaltrials.gov/show/NCT00289770		Y	N	Y	Y	Y	Y	N	This is a follow-up study to 208127/021 and 208127/115 and 208127/119, a follow-on study 112267 was conducted. The results of this study 100554 are summarised with studies 100551, 100552, 100553 and 100555 on the GSK Study Register. An annotated case report form is not available for this study. A blank case report form will be provided. A reporting and analysis plan is not available for this study.	1-Oct-2014	C0593953	Twinrix	Pharmacologic Substance|Immunologic Factor	True
2185	GSK	A double blind randomised, comparative study of the immunogenicity and reactogenicity of three different lots of GlaxoSmithKline Biologicals’ combined hepatitis A - hepatitis B vaccine when administered in healthy adults	twinrix	100555	Hepatitis A; Hepatitis B	Phase 3	https://www.gsk-studyregister.com/en/trial-details/?id=100551 (EXT Y11)	http://clinicaltrials.gov/show/NCT00289770		Y	N	Y	Y	Y	Y	N	This is a follow-up study to 208127/021 and 208127/115 and 208127/119, a follow-on study 112267 was conducted. The results of this study 100555 are summarised with studies 100551, 100552, 100553 and 100554 on the GSK Study Register. An annotated case report form is not available for this study. A blank case report form will be provided. A reporting and analysis plan is not available for this study.	1-Oct-2014	C0593953	Twinrix	Pharmacologic Substance|Immunologic Factor	True
2186	GSK	Long-Term Persistence Follow-up Study to Evaluate the Immune Persistence of GSK Biologicals' Combined Hepatitis A / Hepatitis B Vaccine in Healthy Adult Volunteers	twinrix	100556	Hepatitis A; Hepatitis B	Phase 3	https://www.gsk-studyregister.com/en/trial-details/?id=100556 (Y11)	http://clinicaltrials.gov/show/NCT00289718		Y	N	Y	Y	Y	Y	N	This is a follow-up study to 208127/118. The results of this study 100556 are summarised with studies 100557, 100558, 100559, 100560, and 112266 on the GSK Study Register. An annotated case report form is not available for this study. A blank case report form will be provided. A reporting and analysis plan is not available for this study.	1-Oct-2014	C0593953	Twinrix	Pharmacologic Substance|Immunologic Factor	True
2187	GSK	Long-Term Persistence Follow-up Study to Evaluate the Immune Persistence of GSK Biologicals' Combined Hepatitis A / Hepatitis B Vaccine in Healthy Adult Volunteers	twinrix	100557	Hepatitis A; Hepatitis B	Phase 3	https://www.gsk-studyregister.com/en/trial-details/?id=100556 (Y11)	http://clinicaltrials.gov/show/NCT00289718		Y	N	Y	Y	Y	Y	N	This is a follow-up study to 208127/118. The results of this study 100557 are summarised with studies 100556, 100558, 100559,100560, and 112266 on the GSK Study Register. An annotated case report form is not available for this study. A blank case report form will be provided. A reporting and analysis plan is not available for this study.	1-Oct-2014	C0593953	Twinrix	Pharmacologic Substance|Immunologic Factor	True
2188	GSK	Long-Term Persistence Follow-up Study to Evaluate the Immune Persistence of GSK Biologicals' Combined Hepatitis A / Hepatitis B Vaccine in Healthy Adult Volunteers	twinrix	100558	Hepatitis A; Hepatitis B	Phase 3	https://www.gsk-studyregister.com/en/trial-details/?id=100556 (Y11)	http://clinicaltrials.gov/show/NCT00289718		Y	N	Y	Y	Y	Y	N	This is a follow-up study to 208127/118. The results of this study 100558 are summarised with studies 100556, 100557, 100559, 100560, and 112266 on the GSK Study Register. An annotated case report form is not available for this study. A blank case report form will be provided. A reporting and analysis plan is not available for this study.	1-Oct-2014	C0593953	Twinrix	Pharmacologic Substance|Immunologic Factor	True
2190	GSK	Long-Term Persistence Follow-up Study to Evaluate the Immune Persistence of GSK Biologicals' Combined Hepatitis A / Hepatitis B Vaccine in Healthy Adult Volunteers	twinrix	100560	Hepatitis A; Hepatitis B	Phase 3	https://www.gsk-studyregister.com/en/trial-details/?id=100556 (Y11)	http://clinicaltrials.gov/show/NCT00289718		Y	N	Y	Y	Y	Y	N	This is a follow-up study to 208127/118. The results of this study 100560 are summarised with studies 100556, 100557, 100558, and 100559 on the GSK Study Register. An annotated case report form is not available for this study. A blank case report form will be provided. A reporting and analysis plan is not available for this study.	1-Oct-2014	C0593953	Twinrix	Pharmacologic Substance|Immunologic Factor	True
2191	GSK	Challenge dose administration of Twinrix™ or comparator 4 years after primary vaccination.	twinrix	111572	Hepatitis A; Hepatitis B	Phase 4	https://www.gsk-studyregister.com/en/trial-details/?id=111572	http://clinicaltrials.gov/show/NCT00684671	https://www.clinicaltrialsregister.eu/ctr-search/search?query=2008-000526-39	Y	N	Y	Y	Y	Y	Y	The results of this study 111572 are summarised with study 111149 on the GSK Study Register. An annotated case report form is not available for this study. A blank case report form will be provided.	1-Oct-2014	C0593953	Twinrix	Pharmacologic Substance|Immunologic Factor	True
2225	Novartis	A Phase III, Multicenter, Randomized, Double-blind, Placebo-controlled Safety Study of Xolair (Omalizumab) in Patients With Chronic Idiopathic Urticaria (CIU) Who Remain Symptomatic Despite Treatment With H1 Antihistamines, H2 Blockers, and/or Leukotriene Receptor Antagonists	omalizumab	Q4883g	Chronic Idiopathic Urticaria (CIU)	Phase 3	http://roche-trials.com/studyResultGet.action?studyResultNumber=Q4883g	https://clinicaltrials.gov/show/NCT01264939		Y	Y	Y	Y	Y	Y	Y	Novartis & Roche co-license the Xolair studies.  Xolair information appears on both Company websites.	1-Jun-2016	C0966225	omalizumab	Amino Acid, Peptide, or Protein|Pharmacologic Substance|Immunologic Factor	True
2414	GSK	A 16-Week, Parallel-Group, Double-Blind, Randomized, Placebo-Controlled, Multicenter, Dose-Ranging Study to Evaluate the Efficacy, Safety, and Tolerability of Multiple Doses and Multiple Treatment Regimens of GSK716155, with Byetta as an Open Label Active Reference, in Subjects with Type 2 Diabetes Mellitus	albiglutide	GLP110125	Diabetes Mellitus, Type 2	Phase 2	https://www.gsk-studyregister.com/en/trial-details/?id=GLP110125	http://clinicaltrials.gov/show/NCT00518115		Y	Y	Y	Y	Y	Y	Y		1-Nov-2014	C2607479	albiglutide	Amino Acid, Peptide, or Protein|Pharmacologic Substance|Biologically Active Substance	True
2415	GSK	A Randomized, Double-Blind, Active-Controlled, Parallel-Group, Multicenter Study to Determine the Efficacy and Safety of Albiglutide as Compared With Sitagliptin in Subjects With Type 2 Diabetes Mellitus With Renal Impairment	albiglutide	GLP114130	Diabetes Mellitus, Type 2	Phase 3	https://www.gsk-studyregister.com/en/trial-details/?id=114130	http://clinicaltrials.gov/show/NCT01098539	https://www.clinicaltrialsregister.eu/ctr-search/search?query=2010-019777-15	Y	Y	Y	Y	Y	Y	Y	This study is available in CDISC format	1-Nov-2014	C2607479	albiglutide	Amino Acid, Peptide, or Protein|Pharmacologic Substance|Biologically Active Substance	True
2416	GSK	A Randomized, Double-Blind, Placebo and Active-Controlled, Parallel-Group, Multicenter Study to Determine the Efficacy and Safety of Albiglutide When Used in Combination With Metformin Compared With Metformin Plus Sitagliptin, Metformin Plus Glimepiride, and Metformin Plus Placebo in Subjects With Type 2 Diabetes Mellitus	albiglutide/metformin	GLP112753	Diabetes Mellitus, Type 2	Phase 3	https://www.gsk-studyregister.com/en/trial-details/?id=112753	http://clinicaltrials.gov/show/NCT00838903	https://www.clinicaltrialsregister.eu/ctr-search/search?query=2008-007660-41	Y	Y	Y	Y	Y	Y	Y	This study is available in CDISC format	1-Nov-2014	C2607479;C0025598	albiglutide;metformin	Amino Acid, Peptide, or Protein|Pharmacologic Substance|Biologically Active Substance;Organic Chemical|Pharmacologic Substance	True;True
2417	GSK	A multicenter, randomized, parallel, placebo-controlled, one-year study of the efficacy and safety of bupropion hydrochloride sustained-release tablets versus placebo as an aid to smoking cessation treatment in adult cigarette smokers previously treated with bupropion	bupropion	ZYB40003	Smoking Cessation	Phase 4	https://www.gsk-studyregister.com/en/trial-details/?id=ZYB40003			N	Y	Y	Y	Y	Y	Y	An analysis-ready dataset is not available for this study. A link to ClinicalTrials.gov and an NCTID number are not available for this study because the study is not in scope of regulatory requirements to register studies.	1-Nov-2014	C0085208	bupropion	Organic Chemical|Pharmacologic Substance	True
2418	GSK	The effect of sustained-release bupropion HCl vs. placebo as an aid to smoking reduction leading to cessation among smokers unwilling and unable to quit smoking	bupropion	ZYB40005	Smoking Cessation	Phase 4	https://www.gsk-studyregister.com/en/trial-details/?id=ZYB40005			N	Y	Y	Y	Y	Y	Y	An analysis-ready dataset is not available for this study. A link to ClinicalTrials.gov and an NCTID number are not available for this study because the study is not in scope of regulatory requirements to register studies.	1-Nov-2014	C0085208	bupropion	Organic Chemical|Pharmacologic Substance	True
2419	GSK	A Randomized, 24-week, Double-blind, Placebo-controlled, Parallel-group Study to Evaluate the Efficacy, Safety and Tolerability of ARIFLO® (15mg BID) in Patients with Chronic Obstructive Pulmonary Disease (COPD)	cilomilast	CIL103657	Pulmonary Disease, Chronic Obstructive	Phase 3	https://www.gsk-studyregister.com/en/trial-details/?id=CIL103657	http://clinicaltrials.gov/show/NCT00103922		Y	N	Y	Y	Y	Y	Y	An annotated case report form is not available for this study. A blank case report form will be provided.	1-Nov-2014	C0968887	Cilomilast	Organic Chemical|Pharmacologic Substance	True
2420	GSK	An 18-week randomized, double-blind, placebo-controlled, multicenter study designed to compare treatment with cilomilast to that with placebo for changes in ventilatory mechanics and function (both at rest and during exercise), as well as related exertional dyspnea and exercise performance, in hyperinflated patients with stable COPD	cilomilast	SB207499/180	Pulmonary Disease, Chronic Obstructive	Phase 3	https://www.gsk-studyregister.com/en/trial-details/?id=207499/180			N	Y	Y	Y	Y	Y	Y	An analysis-ready dataset is not available for this study. A link to ClinicalTrials.gov and an NCTID number are not available for this study because the study is not in scope of regulatory requirements to register studies.	1-Nov-2014	C0968887	Cilomilast	Organic Chemical|Pharmacologic Substance	True
2421	GSK	A Randomized, 12-Week, Double-blind, Placebo-controlled, Parallel-group Pilot Study to Evaluate the Safety and Additional Efficacy of Adding a New Chemical Entity (NCE) to Treatment with ADVAIR 250/50 Twice Daily in Patients with Chronic Obstructive Pulmonary Disease (COPD).	cilomilast/salmeterol/fluticasone propionate	207499/125	Pulmonary Disease, Chronic Obstructive	Phase 3	https://www.gsk-studyregister.com/en/trial-details/?id=207499/125			Y	Y	Y	Y	Y	Y	Y	A link to ClinicalTrials.gov and an NCTID number are not available for this study because the study is not in scope of regulatory requirements to register studies.	1-Nov-2014	C0968887;C0073992;C0117996	Cilomilast;salmeterol;fluticasone propionate	Organic Chemical|Pharmacologic Substance;Organic Chemical|Pharmacologic Substance;Organic Chemical|Pharmacologic Substance	True;True;True
2422	GSK	A 12-Week, Parallel-Group, Double-Blind, Randomised, Placebo-Controlled, Multicentre, Dose Ranging Study toEvaluate the Efficacy, Safety and Tolerability of GW823093 (2.5mg, 7.5mg, 15mg, 30mg and 45mg), AdministeredOrally, Once Daily, as Monotherapy in Subjects With Type 2 Diabetes Mellitus foll ...	denagliptin	DPB100925	Diabetes Mellitus, Type 2	Phase 2	https://www.gsk-studyregister.com/en/trial-details/?id=100925	http://clinicaltrials.gov/show/NCT00111800	https://www.clinicaltrialsregister.eu/ctr-search/search?query=2004-004193-91	Y	Y	Y	Y	Y	Y	Y		1-Nov-2014	C2699586	denagliptin	Organic Chemical|Pharmacologic Substance	True
2423	GSK	A randomised, double-blind, placebo-controlled, 2-period cross-over study to evaluate the effect of treatment with GSK2190915 on the allergen-induced asthmatic response in subjects with mild asthma	fiboflapon	LPA111834	Asthma	Phase 2	https://www.gsk-studyregister.com/en/trial-details/?id=111834	http://clinicaltrials.gov/show/NCT00748306	https://www.clinicaltrialsregister.eu/ctr-search/search?query=2008-002580-13	Y	Y	Y	Y	Y	Y	Y		1-Nov-2014	C4550339	Fiboflapon	Organic Chemical|Pharmacologic Substance	True
2424	GSK	A multi-centre, randomized, double-blind, five-way crossover study evaluating the dose response and duration of action of GSK2190915 compared to placebo in subjects with mild asthma who experience exercise induced bronchoconstriction.	fiboflapon	LPA112025	Asthma	Phase 2	https://www.gsk-studyregister.com/en/trial-details/?id=112025	http://clinicaltrials.gov/show/NCT00812929		Y	Y	Y	Y	Y	Y	Y		1-Nov-2014	C4550339	Fiboflapon	Organic Chemical|Pharmacologic Substance	True
2425	GSK	An open-label, randomised, single-dose, multi-cohort, crossover bioavailability study of a solution formulation and three capsule formulations of GSK2190915 in healthy adult subjects followed by a repeat-dose, randomized, parallel group, double-blinded study of one selected capsule formulation and matched placebo in elderly healthy subjects	fiboflapon	LPA112071	Asthma	Phase 1	https://www.gsk-studyregister.com/en/trial-details/?id=112071	http://clinicaltrials.gov/show/NCT02224521	https://www.clinicaltrialsregister.eu/ctr-search/search?query=2009-010814-31	Y	Y	Y	Y	Y	Y	Y		1-Nov-2014	C4550339	Fiboflapon	Organic Chemical|Pharmacologic Substance	True
2426	GSK	An open label, sequential, single cohort, repeat dose study to investigate the potential interaction of GSK2190915 on the pharmacokinetics of rosuvastatin in healthy adult subjects.	fiboflapon	LPA112362	Asthma	Phase 1	https://www.gsk-studyregister.com/en/trial-details/?id=112362	http://clinicaltrials.gov/show/NCT01411111	https://www.clinicaltrialsregister.eu/ctr-search/search?query=2010-020853-14	Y	Y	Y	Y	Y	Y	Y		1-Nov-2014	C4550339	Fiboflapon	Organic Chemical|Pharmacologic Substance	True
2427	GSK	A randomised, double-blind, placebo-controlled, cross-over study to evaluate the effect of treatment with repeat dose GSK2190915 as an add-on to current therapy on the percentage of neutrophils in induced sputum in asthmatic patients with elevated sputum neutrophils	fiboflapon	LPA115134	Asthma	Phase 2	https://www.gsk-studyregister.com/en/trial-details/?id=115134	http://clinicaltrials.gov/show/NCT01471665	https://www.clinicaltrialsregister.eu/ctr-search/search?query=2010-024436-41	Y	Y	Y	Y	Y	Y	Y		1-Nov-2014	C4550339	Fiboflapon	Organic Chemical|Pharmacologic Substance	True
2428	GSK	Randomised, open label, two period, crossover study to compare the steroid systemic exposure of Fluticasone Propionate (FP) from FP/Salmeterol (SALM) (500/50) DISKUS and Budesonide (BUD) from BUD/formoterol (FOR).(200/6) Turbuhaler in patients with severe Chronic Obstructive Pulmonary Disease.	fluticasone propionate/salmeterol	SAM100807	Pulmonary Disease, Chronic Obstructive	Phase 1	https://www.gsk-studyregister.com/en/trial-details/?id=100807			N	Y	Y	Y	Y	Y	Y	An analysis-ready dataset is not available for this study. A link to ClinicalTrials.gov and an NCTID number are not available for this study because the study is not in scope of regulatory requirements to register studies.	1-Nov-2014	C0117996;C0073992	fluticasone propionate;salmeterol	Organic Chemical|Pharmacologic Substance;Organic Chemical|Pharmacologic Substance	True;True
2429	GSK	A single-blind, placebo-controlled, two part study to assess the safety, tolerability, pharmacokinetics and pharmacodynamics of single ascending doses of GSK2018682 in healthy volunteers	GSK2018682	P1A114070	Multiple Sclerosis	Phase 1	https://www.gsk-studyregister.com/en/trial-details/?id=114070	http://clinicaltrials.gov/show/NCT01387217		Y	Y	Y	Y	Y	Y	Y		1-Nov-2014	C4549166	GSK2018682	Organic Chemical|Pharmacologic Substance	True
2430	GSK	A single-blind, placebo-controlled study to assess the safety, tolerability, pharmacokinetics and pharmacodynamics of repeat ascending doses of GSK2018682 (S1P1 agonist) in healthy volunteers	GSK2018682	P1A114347	Multiple Sclerosis, Relapsing-Remitting	Phase 1	https://www.gsk-studyregister.com/en/trial-details/?id=114347	http://clinicaltrials.gov/show/NCT01431937		Y	Y	Y	Y	Y	Y	Y		1-Nov-2014	C4549166	GSK2018682	Organic Chemical|Pharmacologic Substance	True
2431	GSK	An open-label, randomized, single centre, 4-way crossover study to evaluate the pharmacokinetics of single oral doses of ezogabine/retigabine in healthy adult Taiwanese subjects	retigabine, ezogabine	RTG115860	Epilepsy	Phase 1	https://www.gsk-studyregister.com/en/trial-details/?id=115860	http://clinicaltrials.gov/show/NCT01462669		Y	Y	Y	Y	Y	Y	Y		1-Nov-2014	C0530684	ezogabine	Organic Chemical|Pharmacologic Substance	True
2432	GSK	A two part study to assess the pharmacokinetic performance of three retigabine modified release (MR) formulations after single dose and to assess the pharmacokinetics and tolerability of titration with retigabine MR	retigabine, ezogabine	RTG113215	Seizures	Phase 1	https://www.gsk-studyregister.com/en/trial-details/?id=113215			Y	Y	Y	Y	Y	Y	Y	A link to ClinicalTrials.gov and an NCTID number are not available for this study because the study is not in scope of regulatory requirements to register studies.	1-Nov-2014	C0530684	ezogabine	Organic Chemical|Pharmacologic Substance	True
2433	GSK	Open-Label Study to Evaluate the Pharmacokinetics,Safety and Tolerability of Retigabine Following Single and Multiple Dose Administration of Two Different Modified Release Formulations Compared to Single Dose Administration of One Immediate Release Formula	retigabine, ezogabine	VRX-RET-E22-MR103	Seizures	Phase 1	https://www.gsk-studyregister.com/en/trial-details/?id=VRX-RET-E22-MR103			Y	Y	Y	Y	Y	Y	Y	This study was not originally sponsored by GSK. A link to ClinicalTrials.gov and an NCTID number are not available for this study.	1-Nov-2014	C0530684	ezogabine	Organic Chemical|Pharmacologic Substance	True
2434	GSK	A Randomized, Double-Blind, Placebo- and Active-Controlled Crossover Study to Evaluate the Abuse Potential of Retigabine in Recreational Polydrug Users	retigabine, ezogabine	VRX-RET-E22-108	Seizures	Phase 1	https://www.gsk-studyregister.com/en/trial-details/?id=VRX-RET-E22-108			Y	Y	Y	Y	Y	Y	Y	This study was not originally sponsored by GSK. A link to ClinicalTrials.gov and an NCTID number are not available for this study.	1-Nov-2014	C0530684	ezogabine	Organic Chemical|Pharmacologic Substance	True
2435	GSK	A Randomized, Partially Double-Blind, Four-Way Crossover Study to Determine the Effects of a Single Dose of Retigabine Combined with a Single Dose of Alcohol	retigabine, ezogabine	VRX-RET-E22-107	Seizures	Phase 1	https://www.gsk-studyregister.com/en/trial-details/?id=VRX-RET-E22-107			Y	Y	Y	Y	Y	Y	Y	This study was not originally sponsored by GSK. A link to ClinicalTrials.gov and an NCTID number are not available for this study.	1-Nov-2014	C0530684	ezogabine	Organic Chemical|Pharmacologic Substance	True
2436	GSK	A Pharmacokinetic Interaction Study Evaluating the Effect of Repeated Retigabine Dosing on the Pharmacokinetics of Oral Contraceptives in Healthy Adult Female Volunteers	retigabine, ezogabine	VRX-RET-E22-106	Seizures	Phase 1	https://www.gsk-studyregister.com/en/trial-details/?id=VRX-RET-E22-106			Y	Y	Y	Y	Y	Y	Y	This study was not originally sponsored by GSK. A link to ClinicalTrials.gov and an NCTID number are not available for this study.	1-Nov-2014	C0530684	ezogabine	Organic Chemical|Pharmacologic Substance	True
2437	GSK	Comparative, Randomized, Open-Label, Single-Dose, 2-Way Crossover Bioavailability, Safety and Tolerability Study of a 400mg Dose of Retigabine Administered as the Clinical Trials Formulation and the Market Image Formulation in Healthy Adult Male Subjects	retigabine, ezogabine	VRX-RET-E22-105	Seizures	Phase 1	https://www.gsk-studyregister.com/en/trial-details/?id=VRX-RET-E22-105			Y	Y	Y	Y	Y	Y	Y	This study was not originally sponsored by GSK. A link to ClinicalTrials.gov and an NCTID number are not available for this study.	1-Nov-2014	C0530684	ezogabine	Organic Chemical|Pharmacologic Substance	True
2438	GSK	Comparative, Randomized, Open-Label, Single-Dose, 2-way Crossover Food Effect, Safety and Tolerability Study of a 400-mg Dose of the Retigabine Market Image Tablet in Healthy Adult Male Subjects	retigabine, ezogabine	VRX-RET-E22-104	Seizures	Phase 1	https://www.gsk-studyregister.com/en/trial-details/?id=VRX-RET-E22-104			Y	Y	Y	Y	Y	Y	Y	This study was not originally sponsored by GSK. A link to ClinicalTrials.gov and an NCTID number are not available for this study.	1-Nov-2014	C0530684	ezogabine	Organic Chemical|Pharmacologic Substance	True
2439	GSK	A Double-Blind Randomized Parallel-group Trial to Define the ECG Effects of Retigabine Using a Maximum Tolerated Dose Compared with Placebo and Moxifloxacin (a Positive Control) in Healthy Men and Women: A Thorough ECG Trial	retigabine, ezogabine	VRX-RET-E22-103	Seizures	Phase 1	https://www.gsk-studyregister.com/en/trial-details/?id=VRX-RET-E22-103			Y	Y	Y	Y	Y	Y	Y	This study was not originally sponsored by GSK. A link to ClinicalTrials.gov and an NCTID number are not available for this study.	1-Nov-2014	C0530684	ezogabine	Organic Chemical|Pharmacologic Substance	True
2440	GSK	Open-Label, Single-Dose, 8-Period Study to Evaluate the Pharmacokinetics, Safety and Tolerability of a 400 mg Dose of Retigabine Sustained-Release Formulations in Seven Dosing Periods Versus a 200 mg Dose of Retigabine Immediate-Release Formulation in One Dosing Period in Healthy Adult Male Subjects	retigabine, ezogabine	VRX-RET-E22-101SR	Seizures	Phase 1	https://www.gsk-studyregister.com/en/trial-details/?id=VRX-RET-E22-101SR			Y	Y	Y	Y	Y	Y	Y	This study was not originally sponsored by GSK. A link to ClinicalTrials.gov and an NCTID number are not available for this study.	1-Nov-2014	C0530684	ezogabine	Organic Chemical|Pharmacologic Substance	True
2441	GSK	A Randomized, Double-Blind, Parallel-Group, Exploratory Safety and Tolerability Study of 3 Titration Rates of Retigabine (D-23129; GKE-841) Administered as Add-on Therapy in Patients with Refractory Partial Epilepsy	retigabine, ezogabine	3065A1-214-EU/US	Seizures	Phase 2	https://www.gsk-studyregister.com/en/trial-details/?id=3065A1-214			Y	Y	Y	Y	Y	N	Y	This study was not originally sponsored by GSK. A link to ClinicalTrials.gov and an NCTID number are not available for this study. A raw dataset is not available for this study.	1-Nov-2014	C0530684	ezogabine	Organic Chemical|Pharmacologic Substance	True
2442	GSK	A multicenter, open-label, long-term, safety tolerability, and efficacy study of retigabine in adult patients with epilepsy (extension of study 205)	retigabine, ezogabine	3065A1-212	Seizures	Phase 2	https://www.gsk-studyregister.com/en/trial-details/?id=3065A1-212			Y	Y	Y	Y	Y	Y	Y	This study was not originally sponsored by GSK. A link to ClinicalTrials.gov and an NCTID number are not available for this study.	1-Nov-2014	C0530684	ezogabine	Organic Chemical|Pharmacologic Substance	True
2443	GSK	A multicenter, open-label, long-term, safety tolerability, and efficacy study of GKE-841 (retigabine D-23129) in adult patients with epilepsy (extension of study 202)	retigabine, ezogabine	3065A1-208	Seizures	Phase 2	https://www.gsk-studyregister.com/en/trial-details/?id=3065A1-208			Y	Y	Y	Y	Y	Y	Y	This study was not originally sponsored by GSK. A link to ClinicalTrials.gov and an NCTID number are not available for this study.	1-Nov-2014	C0530684	ezogabine	Organic Chemical|Pharmacologic Substance	True
2444	GSK	A randomized, double-blind trial to evaluate the efficacy and safety of fixed dose rosiglitazone/metformin combination therapy compared to both rosiglitazone and metformin monotherapies in drug naive type 2 diabetes mellitus subjects	rosiglitazone/metformin	712753/007	Diabetes Mellitus, Type 2	Phase 3	https://www.gsk-studyregister.com/en/trial-details/?id=712753/007	http://clinicaltrials.gov/show/NCT00499707		Y	Y	Y	Y	Y	Y	Y		1-Nov-2014	C0289313;C0025598	rosiglitazone;metformin	Organic Chemical|Pharmacologic Substance;Organic Chemical|Pharmacologic Substance	True;True
2445	GSK	A phase III, 24 week, multi-centre, randomised, double-blind, parallel group, dose escalation study of Avandamet (rosiglitazone/metformin) and high dose metformin monotherapy in subjects with poorly controlled type 2 diabetes mellitus	rosiglitazone/metformin	712753/002	Diabetes Mellitus, Type 2	Phase 3	https://www.gsk-studyregister.com/en/trial-details/?id=712753/002			Y	Y	Y	Y	Y	Y	Y	A link to ClinicalTrials.gov and an NCTID number are not available for this study because the study is not in scope of regulatory requirements to register studies.	1-Nov-2014	C0289313;C0025598	rosiglitazone;metformin	Organic Chemical|Pharmacologic Substance;Organic Chemical|Pharmacologic Substance	True;True
2446	GSK	A Phase III Multi-Centre, Double-Blind, Randomised, Parallel-Group, Dose Escalation Study Comparing the Effects of 32 Weeks Administration of Avandamet and Metformin on Hba1c Targets in Subjects With Mild Type 2 Diabetes Mellitus	rosiglitazone/metformin	712753/003	Diabetes Mellitus, Type 2	Phase 3	https://www.gsk-studyregister.com/en/trial-details/?id=712753/003			Y	Y	Y	Y	Y	Y	Y	A link to ClinicalTrials.gov and an NCTID number are not available for this study because the study is not in scope of regulatory requirements to register studies.	1-Nov-2014	C0289313;C0025598	rosiglitazone;metformin	Organic Chemical|Pharmacologic Substance;Organic Chemical|Pharmacologic Substance	True;True
2447	GSK	A 24 week, randomised, double blind, parallel study to compare the change in HbA1c with AVANDAMET® (8.0mg / 2.0g) plus insulin to placebo plus insulin, in subjects with type 2 diabetes starting insulin therapy	rosiglitazone/metformin	712753/009	Diabetes Mellitus, Type 2	Phase 3	https://www.gsk-studyregister.com/en/trial-details/?id=712753/009	http://clinicaltrials.gov/show/NCT00069836		Y	Y	Y	Y	Y	Y	Y		1-Nov-2014	C0289313;C0025598	rosiglitazone;metformin	Organic Chemical|Pharmacologic Substance;Organic Chemical|Pharmacologic Substance	True;True
2448	GSK	A two part randomized, double-blind, placebo controlled study to investigate the effects of topical doses of SB705498 oncapsaicin, histamine, and cowhage responses in healthy volunteers.	SB705498	VRD115246	Dermatitis, Atopic	Phase 1	https://www.gsk-studyregister.com/en/trial-details/?id=115246	http://clinicaltrials.gov/show/NCT01673529	https://www.clinicaltrialsregister.eu/ctr-search/search?query=2012-000182-20	Y	Y	Y	Y	Y	Y	Y		1-Nov-2014	C1744311	SB 705498	Organic Chemical	True
2449	GSK	Two part study to investigate pharmacokinetics (PK) & pharamcodynamics (PD) of SB-705498 in cough. Part A:open label study in healthy subjects to determine exposure to SB-705498. Part B:double-blind, placebo controlled, cross over study to investigate effect of SB-705498 on capsaicin induced cough and 24 hour cough counts in cough patients	SB705498	VR1114693	Rhinitis	Phase 2	https://www.gsk-studyregister.com/en/trial-details/?id=114693	http://clinicaltrials.gov/show/NCT01476098	https://www.clinicaltrialsregister.eu/ctr-search/search?query=2010-021642-22	Y	Y	Y	Y	Y	Y	Y		1-Nov-2014	C1744311	SB 705498	Organic Chemical	True
2450	GSK	A randomised, double blind placebo controlled, 2 way cross over study in adults with non-allergic rhinits to evaluate the effect of once daily administration of intranasal SB-705498 12mg for two weeks and the response to a chamber challenge of cold dry air	SB705498	VR1114974	Rhinitis	Phase 2	https://www.gsk-studyregister.com/en/trial-details/?id=114974	http://clinicaltrials.gov/show/NCT01424514		Y	Y	Y	Y	Y	Y	Y		1-Nov-2014	C1744311	SB 705498	Organic Chemical	True
