text	preferredTerm	entityId	confidence	HPO	MSH
Valsartan	valsartan	UMLS/C0216784	0.9907212257385254		MSH/D000068756
Varicella vaccine	Chickenpox Vaccine;varicella-zoster virus vaccine live (Oka-Merck) strain	UMLS/C0078048;UMLS/C3464497	0.8836982250213623		MSH/D019433
Vercirnon	Vercirnon	UMLS/C3713948	0.9747759103775024		MSH/C583420
Vestipitant	vestipitant	UMLS/C2607417	0.8104814887046814		MSH/C534550
Vestipitant/paroxetine	vestipitant	UMLS/C2607417	0.7531355023384094		MSH/C534550
Vilanterol	vilanterol	UMLS/C2935023	0.8841880559921265		MSH/C550468
Vilanterol/darotropium bromide	Darotropium Bromide	UMLS/C2699560	0.753665030002594		
Vildagliptin	vildagliptin	UMLS/C1570906	0.9931241869926453		MSH/D000077597
Zanamivir	zanamivir	UMLS/C0216660	0.9946432709693909		MSH/D053243
Zoledronic acid	zoledronic acid	UMLS/C0257685	0.9591715931892395		MSH/D000077211
