Posting ID	Sponsor	Study Title	Medicine or Vaccine (generic name)	Sponsor Identification Number	Medical Condition	Phase	Link to Sponsor Study Registry	Link to study details on ClinicalTrials.gov (if available)	Link to study details on EudraCT (if available)	Analysis-ready dataset	Annotated case report form	Clinical study report	Dataset specifications	Protocol with any amendments	Raw dataset	Reporting and analysis plan	Additional Information about the data and documents available for this study	Date Added to this Site
1902	GSK	A Single-Blind, Randomised, Placebo-Controlled, Parallel-Group, Multicentre, Phase IIa Study to Determine the Pharmacokinetics and Tolerability of Ropinirole in Patients Suffering from Restless Legs Syndrome (RLS)	ropinirole	SKF-101468/218	Restless Legs Syndrome	Phase 2	https://www.gsk-studyregister.com/en/trial-details/?id=101468/218			Y	Y	Y	Y	Y	Y	Y	A follow-on study 101468/192 was conducted. A link to ClinicalTrials.gov and an NCTID number are not available for this study because the study is not in scope of regulatory requirements to register studies.	1-Jun-2014
1903	GSK	An open label, randomised, five-way crossover single-dose pharmacokinetic study to assess dosage strength equivalence of ropinirole CR in healthy male and female volunteers	ropinirole	101468/219	Parkinson Disease	Phase 1	https://www.gsk-studyregister.com/en/trial-details/?id=101468/219			Y	Y	Y	Y	Y	Y	Y	A link to ClinicalTrials.gov and an NCTID number are not available for this study because the study is not in scope of regulatory requirements to register studies.	1-Jun-2014
1904	GSK	A two year Phase IIIb randomised, multicenter, double-blind, SINEMET controlled, parallel group, flexible dose study, to assess the effectiveness of controlled release ropinirole add-on therapy to L-dopa at increasing the time to onset of dyskinesia in Parkinson's disease subjects.	ropinirole	101468/228	Parkinson Disease	Phase 3	https://www.gsk-studyregister.com/en/trial-details/?id=101468/228	http://clinicaltrials.gov/show/NCT00363727		Y	Y	Y	Y	Y	Y	Y		1-Jun-2014
1905	GSK	A 52 Week Open-Label Extension Study of the Long-Term Safety of Ropinirole in Subjects Suffering from Restless Legs Syndrome (RLS)	ropinirole	101468/243	Restless Legs Syndrome	Phase 3	https://www.gsk-studyregister.com/en/trial-details/?id=101468/243			Y	Y	Y	Y	Y	Y	Y	This is a follow-up study to 101468/191, SKF-101468/194 and SKF-101468/207. A link to ClinicalTrials.gov and an NCTID number are not available for this study because the study is not in scope of regulatory requirements to register studies.	1-Jun-2014
1906	GSK	A 12-Week, Double-Blind, Placebo Controlled, Parallel Group Study to Assess the Efficacy and Safety of Ropinirole in Patients Suffering from Restless Legs Syndrome (RLS)	ropinirole	101468/249	Restless Legs Syndrome	Phase 3	https://www.gsk-studyregister.com/en/trial-details/?id=101468/249	http://clinicaltrials.gov/show/NCT00363857		Y	Y	Y	Y	Y	Y	Y		1-Jun-2014
1907	GSK	An open label, single dose, dose rising, multi-centre study to assess the tolerability and pharmacokinetics of Ropinirole Immediate Release in adolescent patients with RLS.	ropinirole	101468/253	Restless Legs Syndrome	Phase 1	https://www.gsk-studyregister.com/en/trial-details/?id=101468/253	http://clinicaltrials.gov/show/NCT00140712		Y	Y	Y	Y	Y	Y	Y		1-Jun-2014
1908	GSK	A study to evaluate the effect of repeated oral doses of ropinirole on cardiac conduction as assessed by 12-lead electrocardiogram compared to placebo and single oral doses of moxifloxacin (Bayer) as a positive control.	ropinirole	101468/902	Restless Legs Syndrome	Phase 1	https://www.gsk-studyregister.com/en/trial-details/?id=101468/902			Y	Y	Y	Y	Y	Y	Y	A link to ClinicalTrials.gov and an NCTID number are not available for this study because the study is not in scope of regulatory requirements to register studies.	1-Jun-2014
1910	GSK	A randomised, double blind, placebo-controlled, parallel group study to investigate the safety and efficacy of controlled-release ropinirole (CR) (1-24 mg) administered once daily for 12 weeks in subjects with fibromyalgia	ropinirole	ROF102100	Fibromyalgia Syndrome, Primary	Phase 2	https://www.gsk-studyregister.com/en/trial-details/?id=ROF102100	http://clinicaltrials.gov/show/NCT00256893	https://www.clinicaltrialsregister.eu/ctr-search/search?query=2004-001680-22	Y	Y	Y	Y	Y	Y	Y		1-Jun-2014
1911	GSK	A parallel group study to evaluate the efficacy and safety of ropinirole for 26 weeks and to further evaluate the incidence of augmentation and rebound for a further 40 weeks open-label extension treatment period in subjects suffering from moderate to severe Restless Legs Syndrome.	ropinirole	ROR104836	Restless Legs Syndrome	Phase 4	https://www.gsk-studyregister.com/en/trial-details/?id=ROR104836	http://clinicaltrials.gov/show/NCT00329602	https://www.clinicaltrialsregister.eu/ctr-search/search?query=2005-005372-32	Y	Y	Y	Y	Y	Y	Y		1-Jun-2014
1912	GSK	An Open-Label, Parallel-Group, Repeat-Dose Study to Investigate the Effects of End Stage Renal Disease and Haemodialysis on the Pharmacokinetics of Ropinirole (Study RRL103628)	ropinirole	RRL103628	Restless Legs Syndrome	Phase 1	https://www.gsk-studyregister.com/en/trial-details/?id=RRL103628	http://clinicaltrials.gov/show/NCT00422994	https://www.clinicaltrialsregister.eu/ctr-search/search?query=2005-006139-55	Y	Y	Y	Y	Y	Y	Y		1-Jun-2014
1913	GSK	A 12-Week, Multi-Center, Double-Blind, Placebo-Controlled, Parallel Group, Flexible Dose Polysomnography Study of Ropinirole Controlled Release for Restless Legs Syndrome (RLS) in RLS Patients with Sleep Disturbance and Periodic Limb Movements (PLM) During Sleep	ropinirole	RRL103660	Restless Legs Syndrome	Phase 4	https://www.gsk-studyregister.com/en/trial-details/?id=RRL103660	http://clinicaltrials.gov/show/NCT00373542		Y	Y	Y	Y	Y	Y	Y		1-Jun-2014
1914	GSK	A Multicentre, Open-Label Extension Study to Assess the Long-Term Safety, Tolerability and Efficacy of Rosiglitazone When Administered to Patients With Type 2 Diabetes Mellitus.	rosiglitazone	49653/009	Diabetes Mellitus, Type 2	Phase 3	https://www.gsk-studyregister.com/en/trial-details/?id=49653/009			Y	Y	Y	Y	Y	Y	N	This is an extension study to 49653/015, 49653/020, and 49653/025. Reporting and analysis plan is not available for this study. A link to ClinicalTrials.gov and an NCTID number are not available for this study because the study is not in scope of regulatory requirements to register studies.	1-Jun-2014
1915	GSK	A 26 Week Randomised, Double-Blind, Multicentre Study to Investigate the Effects of Rosiglitazone on Insulin Requirements in Insulin-Treated Type 2 Diabetic Patients	rosiglitazone	49653/085	Diabetes Mellitus, Type 2	Phase 3	https://www.gsk-studyregister.com/en/trial-details/?id=49653/085			Y	Y	Y	Y	Y	Y	Y	A link to ClinicalTrials.gov and an NCTID number are not available for this study because the study is not in scope of regulatory requirements to register studies.	1-Jun-2014
1916	GSK	A 3-Year Open-Label, Multicenter, Active (Glyburide) Comparison Study, to Evaluate the Effect of BRL49653C 8mg once daily on Cardiovascular Function in Patients with Non-Insulin Dependent Diabetes Mellitus (NIDDM)	rosiglitazone	49653/097	Diabetes Mellitus, Type 2	Phase 3	https://www.gsk-studyregister.com/en/trial-details/?id=49653/097			N	N	Y	Y	Y	Y	Y	An analysis-ready dataset is not available for this study. An annotated case report form is not available for this study. A blank case report form will be provided. A link to ClinicalTrials.gov and an NCTID number are not available for this study because the study is not in scope of regulatory requirements to register studies.	1-Jun-2014
1917	GSK	An Open-Label Extension Study to Assess the Long-Term Safety, Tolerability and Efficacy of Rosiglitazone When Administered Once or Twice Daily in Combination with Glyburide to Patients with Non-Insulin Dependent Diabetes Mellitus (NIDDM)	rosiglitazone	49653/112	Diabetes Mellitus, Type 2	Phase 3	https://www.gsk-studyregister.com/en/trial-details/?id=49653/112			Y	Y	Y	Y	Y	Y	N	This is an extension study to 49653/079 and 49653/096.  A link to ClinicalTrials.gov and an NCTID number are not available for this study because the study is not in scope of regulatory requirements to register studies.	1-Jun-2014
1918	GSK	An Open-Label Extension Study to Assess the Long-Term Safety, Tolerability and Efficacy of Rosiglitazone When Administered Once or Twice Daily in Combination with Insulin to Patients with Type 2 Diabetes	rosiglitazone	49653/114	Diabetes Mellitus, Type 2	Phase 3	https://www.gsk-studyregister.com/en/trial-details/?id=49653/114			N	Y	Y	Y	Y	Y	N	This is an extension study to 49653/082 and 49653/095. An analysis-ready dataset is not available for this study. A link to ClinicalTrials.gov and an NCTID number are not available for this study because the study is not in scope of regulatory requirements to register studies.	1-Jun-2014
1919	GSK	A Double-blind, Placebo-controlled, Parallel-group Study to Determine the Effect of BRL- 49653C Rosiglitazone, on Fat Distribution When Administered for 26 Weeks to Subjects With Impaired Glucose Tolerance (IGT)	rosiglitazone	BRL-049653/131	Diabetes Mellitus, Type 2	Phase 3	https://www.gsk-studyregister.com/en/trial-details/?id=49653/131			N	N	Y	Y	Y	Y	Y	An analysis-ready dataset is not available for this study. An annotated case report form is not available for this study. A blank case report form will be provided. A link to ClinicalTrials.gov and an NCTID number are not available for this study because the study is not in scope of regulatory requirements to register studies.	1-Jun-2014
1920	GSK	A Randomized, Double-Blind, Placebo-Controlled, Parallel-Group, Single-Attack Study to Evaluate the Onset of Efficacy of a New Formulation of Sumatriptan Tablets 50mg and 100mg in the Acute Treatment of Migraine	sumatriptan	SUM30047	Migraine Disorders	Phase 3	https://www.gsk-studyregister.com/en/trial-details/?id=SUM30047			N	Y	Y	Y	Y	Y	Y	An analysis-ready dataset is not available for this study. A link to ClinicalTrials.gov and an NCTID number are not available for this study because the study is not in scope of regulatory requirements to register studies.	1-Jun-2014
1921	GSK	A Randomized, Double-Blind, Placebo-Controlled, Parallel-Group, Single-Attack Study to Evaluate the Onset of Efficacy of a New Formulation of Sumatriptan Tablets 50mg and 100mg in the Acute Treatment of Migraine (EU study).	sumatriptan	SUM30053	Migraine Disorders	Phase 3	https://www.gsk-studyregister.com/en/trial-details/?id=SUM30053			N	Y	Y	Y	Y	Y	Y	An analysis-ready dataset is not available for this study. A link to ClinicalTrials.gov and an NCTID number are not available for this study because the study is not in scope of regulatory requirements to register studies.	1-Jun-2014
1922	GSK	A randomized double-blind placebo-controlled crossover dose escalation study to examine the safety tolerability pharmacodynamics and pharmacokinetics of inhaled doses of GSK233719 in healthy normal volunteers (single and repeat dosing) and in healthy CYP2D6 poor metaboliser volunteers (single or repeat dosing).	umeclidinium bromide	AC4105209	Pulmonary Disease, Chronic Obstructive	Phase 1	https://www.gsk-studyregister.com/en/trial-details/?id=105209		https://www.clinicaltrialsregister.eu/ctr-search/search?query=2006-001420-39	Y	Y	Y	Y	Y	Y	Y	A link to ClinicalTrials.gov and an NCTID number are not available for this study because the study is not in scope of regulatory requirements to register studies.	1-Mar-2015
1923	GSK	A single-centre, open-label, sequential, cross-over study to examine the safety, tolerability and pharmacokinetics of 3 ascending single intravenous doses, a single 1000μg oral dose and a single 1000μg inhaled dose of GSK573719 in healthy male volunteers.	umeclidinium bromide	AC4112008	Pulmonary Disease, Chronic Obstructive	Phase 1	https://www.gsk-studyregister.com/en/trial-details/?id=112008	http://clinicaltrials.gov/show/NCT01110018	https://www.clinicaltrialsregister.eu/ctr-search/search?query=2010-018429-20	Y	Y	Y	Y	Y	Y	Y		1-Jun-2014
1924	GSK	An open-label, two period study to determine the excretion balance and pharmacokinetics of 14C-GSK573719, administered as single dose of an oral solution and an intravenous infusion, to healthy male adults	umeclidinium bromide	AC4112014	Pulmonary Disease, Chronic Obstructive	Phase 1	https://www.gsk-studyregister.com/en/trial-details/?id=112014	http://clinicaltrials.gov/show/NCT01362257	https://www.clinicaltrialsregister.eu/ctr-search/search?query=2010-024564-17	Y	Y	Y	Y	Y	Y	Y		1-Jun-2014
1925	GSK	A randomised, double-blind, placebo-controlled, dose ascending, 2-cohort, parallel group study to examine the safety, tolerability and pharmacokinetics of once-daily inhaled doses of GSK573719 formulated with the excipient Magnesium Stearatein COPD subjects for 7 days	umeclidinium bromide	AC4105211	Pulmonary Disease, Chronic Obstructive	Phase 2	https://www.gsk-studyregister.com/en/trial-details/?id=105211	http://clinicaltrials.gov/show/NCT00732472	https://www.clinicaltrialsregister.eu/ctr-search/search?query=2008-001095-77	Y	Y	Y	Y	Y	Y	Y		1-Jun-2014
1926	GSK	A single-centre, randomised, double-blind, placebo-controlled, dose-ascending, 3-cohort parallel-group study to evaluate the safety, tolerability, pharmacodynamics and pharmacokinetics of GSK573719 administered as singledoses (750 μg and 1000 μg) and repeat doses over 14 days (250 μg–1000 μg once-daily) of GSK573719 in healthy male and female subjects.	umeclidinium bromide	AC4106889	Pulmonary Disease, Chronic Obstructive	Phase 1	https://www.gsk-studyregister.com/en/trial-details/?id=AC4106889	http://clinicaltrials.gov/show/NCT00475436	https://www.clinicaltrialsregister.eu/ctr-search/search?query=2007-000186-37	Y	Y	Y	Y	Y	Y	Y		1-Mar-2015
1927	GSK	A Randomized, Double-Blind, Placebo-Controlled, 3-Way Cross-Over Study to Evaluate the Safety, Efficacy, and Pharmacokinetics of GSK573719 Administered Once- and Twice-Daily in Subjects with COPD	umeclidinium bromide	AC4113073	Pulmonary Disease, Chronic Obstructive	Phase 2	https://www.gsk-studyregister.com/en/trial-details/?id=113073	http://clinicaltrials.gov/show/NCT00950807	https://www.clinicaltrialsregister.eu/ctr-search/search?query=2009-014543-46	Y	Y	Y	Y	Y	Y	Y		1-Jun-2014
1928	GSK	A randomized, double-blind, parallel-group, placebo-controlled study to evaluate the efficacy and safety of GSK573719 delivered once-daily over 28 days in subjects with COPD	umeclidinium bromide	AC4113589	Pulmonary Disease, Chronic Obstructive	Phase 2	https://www.gsk-studyregister.com/en/trial-details/?id=113589	http://clinicaltrials.gov/show/NCT01030965	https://www.clinicaltrialsregister.eu/ctr-search/search?query=2009-016690-15	Y	Y	Y	Y	Y	Y	Y		1-Jun-2014
1929	GSK	A randomized, double blind, placebo controlled, incomplete block, crossover, dose ranging study to evaluate the dose response of GSK573719 administered once or twice daily over 7 days in patients with Chronic Obstructive Pulmonary Disease (COPD)	umeclidinium bromide	AC4115321	Pulmonary Disease, Chronic Obstructive	Phase 2	https://www.gsk-studyregister.com/en/trial-details/?id=115321	http://clinicaltrials.gov/show/NCT01372410		Y	Y	Y	Y	Y	Y	Y		1-Jun-2014
1930	GSK	A12-Week, Randomized, Double-Blind, Placebo-Controlled, Parallel-Group Study to Evaluate the Efficacy and Safety of GSK573719 Delivered Once-Daily via a Novel Dry Powder Inhaler in Subjects with Chronic Obstructive Pulmonary Disease	umeclidinium bromide	AC4115408	Pulmonary Disease, Chronic Obstructive	Phase 3	https://www.gsk-studyregister.com/en/trial-details/?id=115408	http://clinicaltrials.gov/show/NCT01387230	https://www.clinicaltrialsregister.eu/ctr-search/search?query=2011-001645-33	Y	Y	Y	Y	Y	Y	Y		1-Jun-2014
1931	GSK	A randomised, double blind, placebo-controlled, double dummy, 4-way cross-over, dose ascending study to assess the safety, tolerability, pharmacodynamics and pharmacokinetics of single inhaled doses of GSK573719 (250, 500 and 1000 μg) and tiotropium bromide (18 μg) via DPI in COPD patients.	umeclidinium bromide	AC4108123	Pulmonary Disease, Chronic Obstructive	Phase 2	https://www.gsk-studyregister.com/en/trial-details/?id=AC4108123	http://clinicaltrials.gov/show/NCT00515502	https://www.clinicaltrialsregister.eu/ctr-search/search?query=2007-000187-25	Y	Y	Y	Y	Y	Y	Y		1-Mar-2015
1932	GSK	A single centre, randomized, double-blind, dose ascending, placebo-controlled study, in two parts, to evaluate the safety, tolerability and pharmacokinetics of escalating single and repeat inhaled doses of GSK573719 and placebo formulated with the excipient magnesium stearate, in healthy subjects and in a healthy population of Cytochrome P450 Isoenzyme 2D6 poor metabolisers.	umeclidinium bromide	AC4110106	Pulmonary Disease, Chronic Obstructive	Phase 1	https://www.gsk-studyregister.com/en/trial-details/?id=110106	http://clinicaltrials.gov/show/NCT00803673	https://www.clinicaltrialsregister.eu/ctr-search/search?query=2008-000055-97	Y	Y	Y	Y	Y	Y	Y		1-Jun-2014
1933	GSK	An open-label, multiple-dose, multicenter, pharmacokinetic, safety and tolerability study of valaciclovir oral suspension in infants and children with VZV infection	valaciclovir	HS210916	Varicella	Phase 1	https://www.gsk-studyregister.com/en/trial-details/?id=HS210916			N	Y	Y	Y	Y	Y	Y	An analysis-ready dataset is not available for this study. A link to ClinicalTrials.gov and an NCTID number are not available for this study because the study is not in scope of regulatory requirements to register studies.	1-Jun-2014
1934	GSK	An International, Randomized, Double-Blind, Placebo-Controlled, Multicenter, 6-Month Study of the Efficacy and Safety of Valtrex 1g QD vs. Placebo for the Suppression of HSV-2 Genital Herpes in Newly Diagnosed Immunocompetent Patients	valaciclovir	HS2100275	Herpes Genitalis	Phase 4	https://www.gsk-studyregister.com/en/trial-details/?id=HS2100275	http://clinicaltrials.gov/show/NCT00158860		Y	Y	Y	Y	Y	Y	Y		1-Jun-2014
1935	GSK	An open-label, single-dose, multicenter, pharmacokinetic, safety and tolerability study of valaciclovir oral suspension in infants and children.	valaciclovir	HS210914	Herpes Simplex	Phase 1	https://www.gsk-studyregister.com/en/trial-details/?id=HS210914	http://clinicaltrials.gov/show/NCT00297206		N	Y	Y	Y	Y	Y	Y	An analysis-ready dataset is not available for this study.	1-Jun-2014
1936	GSK	An open-label, multiple-dose, multicenter, pharmacokinetic, safety and tolerability study of valaciclovir oral suspension in infants and children with HSV infection	valaciclovir	HS210915	Herpes Simplex	Phase 1	https://www.gsk-studyregister.com/en/trial-details/?id=HS210915			N	Y	Y	Y	Y	Y	Y	An analysis-ready dataset is not available for this study. A link to ClinicalTrials.gov and an NCTID number are not available for this study because the study is not in scope of regulatory requirements to register studies.	1-Jun-2014
1938	GSK	A Multicenter, Double-Blind, Placebo-Controlled Evaluation of Valaciclovir for the Reduction of the Length of Cold Sore Episodes	valaciclovir	HS230027	Herpes Labialis	Phase 3	https://www.gsk-studyregister.com/en/trial-details/?id=HS230027			N	Y	Y	Y	Y	Y	Y	An analysis-ready dataset is not available for this study. A link to ClinicalTrials.gov and an NCTID number are not available for this study because the study is not in scope of regulatory requirements to register studies.	1-Jun-2014
1939	GSK	A Multicenter, Double-Blind, Placebo-Controlled Evaluation of Valaciclovir for the Prevention/Blockage of the Progression of Cold Sore Lesion Development	valaciclovir	HS230028	Herpes Labialis	Phase 3	https://www.gsk-studyregister.com/en/trial-details/?id=HS230028			N	Y	Y	Y	Y	Y	Y	An analysis-ready dataset is not available for this study. A link to ClinicalTrials.gov and an NCTID number are not available for this study because the study is not in scope of regulatory requirements to register studies.	1-Jun-2014
1940	GSK	A Randomized, Double-Blind, Placebo-Controlled Evaluation of Valaciclovir for the Prevention of Herpes Simplex Virus (HSV) Transmission in Heterosexual Couples (Double-Blind Phase and Open-Label Suppression Phase)	valaciclovir	HS2AB3009	Herpes Simplex	Phase 3	https://www.gsk-studyregister.com/en/trial-details/?id=HS2AB3009			N	Y	Y	Y	Y	Y	Y	An analysis-ready dataset is not available for this study. A link to ClinicalTrials.gov and an NCTID number are not available for this study because the study is not in scope of regulatory requirements to register studies.	1-Jun-2014
1941	GSK	An International, Randomized, Double-Blind, Placebo-Controlled Study of Valaciclovir for the Suppression of Recurrent Ano-Genital HSV Infections in HIV-Infected Subjects	valaciclovir	HS230018	Herpes Genitalis	Phase 3	https://www.gsk-studyregister.com/en/trial-details/?id=HS230018			N	Y	Y	Y	Y	Y	Y	An analysis-ready dataset is not available for this study. A link to ClinicalTrials.gov and an NCTID number are not available for this study because the study is not in scope of regulatory requirements to register studies.	1-Jun-2014
1942	GSK	A Randomized, Double-Blind, Placebo-Controlled, Multicenter 60-Day Study Comparing the Efficacy of Valtrex 1 Gram Once Daily vs. Placebo Once Daily in Reducing Viral Shedding in Immunocompetent Subjects with Recurrent HSV-2 Genital Herpes	valaciclovir	HS2100273	Herpes Genitalis	Phase 4	https://www.gsk-studyregister.com/en/trial-details/?id=100273			Y	Y	Y	Y	Y	Y	Y	A link to ClinicalTrials.gov and an NCTID number are not available for this study because the study is not in scope of regulatory requirements to register studies.	1-Jun-2014
1943	GSK	A Randomized, Double-Blind, Placebo-Controlled, Multicenter, Two-Way Crossover Study to Investigate the Effect of VALTREX 1g Once Daily for 60 Days on Viral Shedding in HSV-2 Seropositive Subjects with No Previous History of Symptomatic Genital Herpes Infection.	valaciclovir	VLX103596	Infections, Herpesviridae	Phase 4	https://www.gsk-studyregister.com/en/trial-details/?id=VLX103596	http://clinicaltrials.gov/show/NCT00116844		Y	Y	Y	Y	Y	Y	Y		1-Jun-2014
1944	GSK	The Effect of Valacyclovir 1g Once Daily on HSV-2 Viral Shedding in Subjects Newly Diagnosed with Genital Herpes Infection	valaciclovir	VLX105832	Herpes Labialis	Phase 4	https://www.gsk-studyregister.com/en/trial-details/?id=VLX105832	http://clinicaltrials.gov/show/NCT00306293		Y	Y	Y	Y	Y	Y	Y		1-Jun-2014
1945	GSK	A Multicenter, Double-Blind, Placebo-Controlled Trial to Evaluate Daily Suppressive Therapy With VALTREX™ on the Rate of HSV Shedding in Subjects With Recurrent Genital Herpes	valaciclovir	HS240017	Herpes Genitalis	Phase 4	https://www.gsk-studyregister.com/en/trial-details/?id=HS240017			N	N	Y	Y	Y	Y	Y	An analysis-ready dataset is not available for this study. An annotated case report form is not available for this study. A blank case report form will be provided. A link to ClinicalTrials.gov and an NCTID number are not available for this study because the study is not in scope of regulatory requirements to register studies.	1-Jun-2014
1946	GSK	A Randomized, Double-Blind, Multicenter Study of VALTREX 500mg Suppressive Therapy in the Reduction of Anxiety Associated with Recurrent Genital Herpes	valaciclovir	HS240018	Herpes Genitalis	Phase 4	https://www.gsk-studyregister.com/en/trial-details/?id=HS240018			N	N	Y	Y	Y	Y	Y	An analysis-ready dataset is not available for this study. An annotated case report form is not available for this study. A blank case report form will be provided. A link to ClinicalTrials.gov and an NCTID number are not available for this study because the study is not in scope of regulatory requirements to register studies.	1-Jun-2014
1947	GSK	A Randomized, Double-Blind, Multicenter Study of VALTREX 500mg Suppressive Therapy in the Reduction of Anxiety Associated with Recurrent Genital Herpes	valaciclovir	HS240021	Herpes Genitalis	Phase 4	https://www.gsk-studyregister.com/en/trial-details/?id=HS240021			N	N	Y	Y	Y	Y	N	An analysis-ready dataset and a reporting and analysis plan are not available for this study. An annotated case report form is not available for this study. A blank case report form will be provided. A link to ClinicalTrials.gov and an NCTID number are not available for this study because the study is not in scope of regulatory requirements to register studies.	1-Jun-2014
1948	GSK	A Long-term Study to Evaluate the Safety and Tolerability of Fluticasone Furoate (FF)/GW642444 Inhalation Powder and FF Inhalation Powder in Japanese Subjects with asthma	vilanterol	HZA113989	Asthma	Phase 3	https://www.gsk-studyregister.com/en/trial-details/?id=113989	http://clinicaltrials.gov/show/NCT01244984		Y	Y	Y	Y	Y	Y	Y		1-Jun-2014
1982	GSK	A Randomised, Double-Blind, Double-Dummy, Parallel-Group, Placebo-Controlled, Forced Dose Titration Study Evaluating the Efficacy and Safety of GW679769 and Paroxetine in Subjects with Major depressive Disorder (MDD)	casopitant	NKF100096	Depressive Disorder, Major	Phase 2	https://www.gsk-studyregister.com/en/trial-details/?id=NKF100096	http://clinicaltrials.gov/show/NCT00413023	https://www.clinicaltrialsregister.eu/ctr-search/search?query=2004-004984-32	Y	Y	Y	Y	Y	Y	Y	The raw data are included within the analysis-ready data for this study and are not provided separately.	1-Jul-2014
1983	GSK	A Randomized, Double-Blind, Parallel Group, Placebo-Controlled, Forced Dose Titration Study Evaluating the Efficacy and Safety of GW679769 and Paroxetine in Subjects with Social Anxiety Disorder	casopitant	NKF100110	Anxiety Disorders	Phase 2	https://www.gsk-studyregister.com/en/trial-details/?id=NKF100110	http://clinicaltrials.gov/show/NCT00273039	https://www.clinicaltrialsregister.eu/ctr-search/search?query=2005-001336-77	Y	Y	Y	Y	Y	Y	Y		1-Jul-2014
1986	GSK	A Phase III Multicenter, Randomized, Double-blind, Parallel Group Study to Evaluate the Safety and Efficacy of the 30mg Intravenous Formulation of the Neurokinin-1 Receptor Antagonist GW679769 for Prevention of Postoperative Nausea and Vomiting in Female Subjects at High Risk for Emesis	casopitant	NKT102552	Nausea and Vomiting, Postoperative	Phase 3	https://www.gsk-studyregister.com/en/trial-details/?id=NKT102552	http://clinicaltrials.gov/show/NCT00334152	https://www.clinicaltrialsregister.eu/ctr-search/search?query=2005-005855-16	Y	Y	Y	Y	Y	Y	Y		1-Jul-2014
1987	GSK	A Phase III, Multicenter, Randomized, Double-blind, Parallel Group Study to Evaluate the Safety and Efficacy of 50mg Oral Dosing with the Neurokinin-1 Receptor Antagonist GW679769 for the Prevention of Postoperative Nausea and Vomiting in Female Subjects at High Risk for Emesis	casopitant	NKT102553	Nausea and Vomiting, Postoperative	Phase 3	https://www.gsk-studyregister.com/en/trial-details/?id=NKT102553	http://clinicaltrials.gov/show/NCT00326248	https://www.clinicaltrialsregister.eu/ctr-search/search?query=2005-005856-42	Y	Y	Y	Y	Y	Y	Y		1-Jul-2014
1988	GSK	An Open-Label, Non-Randomized, Pharmacokinetic and Safety Study of Multiple Oral Doses of GW679769 in Subjects with Renal Impairment	casopitant	NKT102783	Vomiting	Phase 1	https://www.gsk-studyregister.com/en/trial-details/?id=NKT102783	http://clinicaltrials.gov/show/NCT00358813		Y	Y	Y	Y	Y	Y	Y		1-Jul-2014
1989	GSK	An Open-Label, Non-Randomized, Pharmacokinetic and Safety Study of Multiple Oral Doses of GW679769 in subjects with Hepatic Impairment	casopitant	NKT102785	Vomiting	Phase 1	https://www.gsk-studyregister.com/en/trial-details/?id=NKT102785	http://clinicaltrials.gov/show/NCT00359177		Y	Y	Y	Y	Y	Y	Y		1-Jul-2014
1990	GSK	A two-part, dose-rising study to evaluate the safety, tolerability and pharmacokinetics of single intravenous doses of GW679769 when administered alone and in combination with intravenous or oral doses of dexamethasone in healthy adult subjects	casopitant	NKV100789	Nausea and Vomiting, Chemotherapy-Induced	Phase 1	https://www.gsk-studyregister.com/en/trial-details/?id=100789			Y	Y	Y	Y	Y	Y	Y	A link to ClinicalTrials.gov and an NCTID number are not available for this study because the study is not in scope of regulatory requirements to register studies.	1-Jul-2014
1998	GSK	A study to evaluate the safety, immunogenicity and efficacy of GlaxoSmithKline Biologicals’ candidate malaria vaccine RTS,S/AS02A, administered intramuscularly according to a 0, 1 and 2 month vaccination schedule in toddlers and children aged 1 to 4 years in a malaria-endemic region of Mozambique.	RTS,S Vaccine	257049/026	Malaria	Phase 2	https://www.gsk-studyregister.com/en/trial-details/?id=257049/026	http://clinicaltrials.gov/show/NCT00197041		Y	N	Y	Y	Y	Y	Y	A follow-on study 104297 was conducted. The analysis-ready data from this study is provided in combined datasets with the analysis-ready data from 104297. An annotated case report form is not available for this study. A blank case report form will be provided	1-Jul-2014
1999	GSK	An open study for a 2-year period to confirm the safety and immunogenicity of the candidate malaria vaccine RTS,S/AS02A in Mozambican children aged 1 to 4 years at the time of first vaccine dose.	RTS,S Vaccine	104297	Malaria	Phase 2	https://www.gsk-studyregister.com/en/trial-details/?id=104297	http://clinicaltrials.gov/show/NCT00323622		Y	N	Y	Y	Y	Y	Y	This is a follow-up study to 257049/026. The analysis-ready data from this study is provided in combined datasets with the analysis-ready data from 257049/026. An annotated case report form is not available for this study. A blank case report form will be provided.	1-Jul-2014
2000	ViiV	A Phase IIIb, randomized, open-label study of the safety and efficacy of GSK1349572 (dolutegravir, DTG) 50 mg once daily compared to darunavir/ritonavir (DRV/r) 800 mg/100 mg once daily each administered with fixed-dose dual nucleoside reverse transcriptase inhibitor therapy over 96 weeks in HIV-1 infected antiretroviral naïve adult subjects	dolutegravir	ING114915	Infection, Human Immunodeficiency Virus I	Phase 3	https://www.viiv-studyregister.com/study/19549	http://clinicaltrials.gov/ct2/show/NCT01449929		Y	Y	Y	Y	Y	Y	Y		1-Jul-2014
